scenario,timestamp,agent_id,agent_name,agent_ip,hostname,program,location,full_log,rule_id,rule_level,rule_description,rule_groups,rule_groups_str,y_priority
wheeler,2022-01-28 11:06:46.792435+00:00,12,wazuh-client,10.38.243.24,wazuh-client,snort,/var/log/suricata/fast.log,01/28/2022-11:06:46.792435  [**] [1:2230003:1] SURICATA TLS invalid handshake message [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.38.242.195:443 -> 10.38.243.24:41218,20101,6,IDS event.,['ids'],ids,medium
wheeler,2022-01-30 07:51:58+00:00,32,wazuh-client,192.168.2.114,wazuh-client,web-accesslog,/var/log/apache2/intranet-access.log,"10.38.243.125 - - [30/Jan/2022:07:51:58 +0000] ""GET /wp-includes/js/dist/vendor/xmlfiles HTTP/1.1"" 404 363 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)""",31101,5,Web server 400 error code.,"['web', 'accesslog', 'attack']","web,accesslog,attack",medium
wilson,2022-02-03 15:53:06.545482+00:00,25,wazuh-client,10.182.194.5,wazuh-client,snort,/var/log/suricata/fast.log,02/03/2022-15:53:06.545482  [**] [1:2230003:1] SURICATA TLS invalid handshake message [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.182.193.181:443 -> 10.182.194.5:48532,20101,6,IDS event.,['ids'],ids,medium
wilson,2022-02-06 15:47:08.137924+00:00,10,wazuh-client,10.182.193.78,wazuh-client,json,/var/log/suricata/eve.json,,86601,3,Suricata: Alert - SURICATA TLS invalid record/traffic,"['ids', 'suricata']","ids,suricata",low
fox,2022-01-18 12:36:39+00:00,27,wazuh-client,10.35.35.206,wazuh-client,web-accesslog,/var/log/apache2/intranet-access.log,"172.17.130.196 - - [18/Jan/2022:12:36:39 +0000] ""GET /wp-includes/js/tinymce/skins/wordpress/header HTTP/1.1"" 404 363 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)""",31101,5,Web server 400 error code.,"['web', 'accesslog', 'attack']","web,accesslog,attack",medium
fox,2022-01-18 12:29:43+00:00,27,wazuh-client,10.35.35.206,wazuh-client,web-accesslog,/var/log/apache2/intranet-access.log,"172.17.130.196 - - [18/Jan/2022:12:29:43 +0000] ""GET /wp-includes/blocks/spacer/notes HTTP/1.1"" 404 363 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)""",31101,5,Web server 400 error code.,"['web', 'accesslog', 'attack']","web,accesslog,attack",medium
harrison,2022-02-08 07:50:28+00:00,21,wazuh-client,192.168.131.215,wazuh-client,web-accesslog,/var/log/apache2/intranet-access.log,"10.237.1.238 - - [08/Feb/2022:07:50:28 +0000] ""GET /wp-includes/js/tinymce/skins/dist HTTP/1.1"" 404 363 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)""",31101,5,Web server 400 error code.,"['web', 'accesslog', 'attack']","web,accesslog,attack",medium
santos,2022-01-15 04:40:47+00:00,21,wazuh-client,10.229.2.25,hayes-mail,freshclam,/var/log/syslog,Jan 15 04:40:47 hayes-mail freshclam[28734]: Sat Jan 15 04:40:47 2022 -> ClamAV update process started at Sat Jan 15 04:40:47 2022,52507,3,ClamAV database update,"['clamd', 'freshclam', 'virus']","clamd,freshclam,virus",low
fox,2022-01-18 12:22:29+00:00,27,wazuh-client,10.35.35.206,wazuh-client,web-accesslog,/var/log/apache2/intranet-access.log,"172.17.130.196 - - [18/Jan/2022:12:22:29 +0000] ""GET /wp-includes/blocks/selected HTTP/1.1"" 404 363 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)""",31101,5,Web server 400 error code.,"['web', 'accesslog', 'attack']","web,accesslog,attack",medium
wheeler,2022-01-30 07:42:49+00:00,32,wazuh-client,192.168.2.114,wazuh-client,web-accesslog,/var/log/apache2/intranet-access.log,"10.38.243.125 - - [30/Jan/2022:07:42:49 +0000] ""GET /wp-includes/blocks/null HTTP/1.1"" 404 363 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)""",31101,5,Web server 400 error code.,"['web', 'accesslog', 'attack']","web,accesslog,attack",medium
wilson,2022-02-07 11:03:07+00:00,28,wazuh-client,172.26.243.167,wazuh-client,web-accesslog,/var/log/apache2/intranet-access.log,"10.182.193.78 - - [07/Feb/2022:11:03:07 +0000] ""GET /wp-content/upgrade/m6_invoice HTTP/1.1"" 404 363 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)""",31101,5,Web server 400 error code.,"['web', 'accesslog', 'attack']","web,accesslog,attack",medium
fox,2022-01-18 12:18:44+00:00,27,wazuh-client,10.35.35.206,wazuh-client,web-accesslog,/var/log/apache2/intranet-access.log,"172.17.130.196 - - [18/Jan/2022:12:18:44 +0000] ""GET /javascript/architecture HTTP/1.1"" 404 363 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)""",31101,5,Web server 400 error code.,"['web', 'accesslog', 'attack']","web,accesslog,attack",medium
wheeler,2022-01-26 14:39:48.223830+00:00,12,wazuh-client,10.38.243.24,wazuh-client,snort,/var/log/suricata/fast.log,01/26/2022-14:39:48.223830  [**] [1:2230003:1] SURICATA TLS invalid handshake message [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.38.242.195:443 -> 10.38.243.24:57792,20101,6,IDS event.,['ids'],ids,medium
wheeler,2022-01-30 07:53:35+00:00,32,wazuh-client,192.168.2.114,wazuh-client,web-accesslog,/var/log/apache2/intranet-access.log,"10.38.243.125 - - [30/Jan/2022:07:53:35 +0000] ""GET /wp-content/themes/go/includes/classes/bannerads HTTP/1.1"" 404 363 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)""",31101,5,Web server 400 error code.,"['web', 'accesslog', 'attack']","web,accesslog,attack",medium
wilson,2022-02-07 11:02:53+00:00,28,wazuh-client,172.26.243.167,wazuh-client,web-accesslog,/var/log/apache2/intranet-access.log,"10.182.193.78 - - [07/Feb/2022:11:02:53 +0000] ""GET /wp-content/themes/gid HTTP/1.1"" 404 363 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)""",31101,5,Web server 400 error code.,"['web', 'accesslog', 'attack']","web,accesslog,attack",medium
harrison,2022-02-06 09:19:14.438605+00:00,27,wazuh-client,192.168.128.1,wazuh-client,snort,/var/log/suricata/fast.log,02/06/2022-09:19:14.438605  [**] [1:2027863:4] ET INFO Observed DNS Query to .biz TLD [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 172.28.192.4:27150 -> 172.28.255.254:53,20101,6,IDS event.,['ids'],ids,medium
wilson,2022-02-07 11:12:18+00:00,28,wazuh-client,172.26.243.167,wazuh-client,web-accesslog,/var/log/apache2/intranet-access.log,"10.182.193.78 - - [07/Feb/2022:11:12:18 +0000] ""GET /wp-includes/images/media/shipping_help HTTP/1.1"" 404 363 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)""",31101,5,Web server 400 error code.,"['web', 'accesslog', 'attack']","web,accesslog,attack",medium
wilson,2022-02-07 11:15:36+00:00,28,wazuh-client,172.26.243.167,wazuh-client,web-accesslog,/var/log/apache2/intranet-access.log,"10.182.193.78 - - [07/Feb/2022:11:15:36 +0000] ""GET /wp-includes/js/tinymce/plugins/registered HTTP/1.1"" 404 363 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)""",31101,5,Web server 400 error code.,"['web', 'accesslog', 'attack']","web,accesslog,attack",medium
fox,2022-01-15 14:18:46+00:00,18,wazuh-client,172.17.131.81,mail,dovecot,/var/log/mail.log,"Jan 15 14:18:46 mail dovecot: imap-login: Login: user=<brian.potter>, method=PLAIN, rip=172.17.131.81, lip=172.17.131.81, mpid=13514, TLS, session=<aHfxmJ/VDr+sEYNR>",9701,3,Dovecot Authentication Success.,"['dovecot', 'authentication_success']","dovecot,authentication_success",low
wheeler,2022-01-30 07:50:18+00:00,32,wazuh-client,192.168.2.114,wazuh-client,web-accesslog,/var/log/apache2/intranet-access.log,"10.38.243.125 - - [30/Jan/2022:07:50:18 +0000] ""GET /wp-includes/js/jquery/element HTTP/1.1"" 404 363 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)""",31101,5,Web server 400 error code.,"['web', 'accesslog', 'attack']","web,accesslog,attack",medium
fox,2022-01-18 12:19:33+00:00,27,wazuh-client,10.35.35.206,wazuh-client,web-accesslog,/var/log/apache2/intranet-access.log,"172.17.130.196 - - [18/Jan/2022:12:19:33 +0000] ""GET /wp-includes/traffic HTTP/1.1"" 404 363 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)""",31151,10,Multiple web server 400 error codes from same source ip.,"['web', 'accesslog', 'web_scan', 'recon']","web,accesslog,web_scan,recon",high
wilson,2022-02-07 11:05:23+00:00,28,wazuh-client,172.26.243.167,wazuh-client,web-accesslog,/var/log/apache2/intranet-access.log,"10.182.193.78 - - [07/Feb/2022:11:05:23 +0000] ""GET /wp-includes/widgets/codepages HTTP/1.1"" 404 363 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)""",31151,10,Multiple web server 400 error codes from same source ip.,"['web', 'accesslog', 'web_scan', 'recon']","web,accesslog,web_scan,recon",high
harrison,2022-02-08 07:48:39+00:00,21,wazuh-client,192.168.131.215,wazuh-client,web-accesslog,/var/log/apache2/intranet-access.log,"10.237.1.238 - - [08/Feb/2022:07:48:39 +0000] ""GET /wp-includes/css/dist/components/wss HTTP/1.1"" 404 363 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)""",31101,5,Web server 400 error code.,"['web', 'accesslog', 'attack']","web,accesslog,attack",medium
harrison,2022-02-08 07:32:20+00:00,21,wazuh-client,192.168.131.215,wazuh-client,web-accesslog,/var/log/apache2/intranet-access.log,"10.237.1.238 - - [08/Feb/2022:07:32:20 +0000] ""GET /wp-admin/js/cfusion HTTP/1.1"" 404 363 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)""",31101,5,Web server 400 error code.,"['web', 'accesslog', 'attack']","web,accesslog,attack",medium
fox,2022-01-18 12:36:27+00:00,27,wazuh-client,10.35.35.206,wazuh-client,web-accesslog,/var/log/apache2/intranet-access.log,"172.17.130.196 - - [18/Jan/2022:12:36:27 +0000] ""GET /wp-includes/js/tinymce/plugins/wordpress/install-xaom HTTP/1.1"" 404 363 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)""",31101,5,Web server 400 error code.,"['web', 'accesslog', 'attack']","web,accesslog,attack",medium
wilson,2022-02-07 11:08:57+00:00,28,wazuh-client,172.26.243.167,wazuh-client,web-accesslog,/var/log/apache2/intranet-access.log,"10.182.193.78 - - [07/Feb/2022:11:08:57 +0000] ""GET /wp-includes/blocks/group/idp HTTP/1.1"" 404 363 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)""",31101,5,Web server 400 error code.,"['web', 'accesslog', 'attack']","web,accesslog,attack",medium
fox,2022-01-18 12:37:28+00:00,27,wazuh-client,10.35.35.206,wazuh-client,web-accesslog,/var/log/apache2/intranet-access.log,"172.17.130.196 - - [18/Jan/2022:12:37:28 +0000] ""GET /wp-content/themes/go/dist/js/admin/hour HTTP/1.1"" 404 363 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)""",31101,5,Web server 400 error code.,"['web', 'accesslog', 'attack']","web,accesslog,attack",medium
wheeler,2022-01-30 07:45:19+00:00,32,wazuh-client,192.168.2.114,wazuh-client,web-accesslog,/var/log/apache2/intranet-access.log,"10.38.243.125 - - [30/Jan/2022:07:45:19 +0000] ""GET /wp-includes/blocks/button/ru HTTP/1.1"" 404 363 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)""",31151,10,Multiple web server 400 error codes from same source ip.,"['web', 'accesslog', 'web_scan', 'recon']","web,accesslog,web_scan,recon",high
wardbeck,2022-01-20 18:56:39+00:00,10,wazuh-client,192.168.98.239,walker-mail,dovecot,/var/log/syslog,"Jan 20 18:56:39 walker-mail dovecot: imap-login: Login: user=<john.sanders>, method=PLAIN, rip=192.168.99.0, lip=192.168.99.0, mpid=19810, TLS, session=<GEP4DwjWhtzAqGMA>",9701,3,Dovecot Authentication Success.,"['dovecot', 'authentication_success']","dovecot,authentication_success",low
harrison,2022-02-06 00:56:44.473264+00:00,16,wazuh-client,192.168.131.109,wazuh-client,json,/var/log/suricata/eve.json,,86601,3,Suricata: Alert - ET INFO Observed DNS Query to .biz TLD,"['ids', 'suricata']","ids,suricata",low
fox,2022-01-18 12:37:19+00:00,27,wazuh-client,10.35.35.206,wazuh-client,web-accesslog,/var/log/apache2/intranet-access.log,"172.17.130.196 - - [18/Jan/2022:12:37:19 +0000] ""GET /wp-content/themes/go/dist/images/social/quote HTTP/1.1"" 404 363 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)""",31151,10,Multiple web server 400 error codes from same source ip.,"['web', 'accesslog', 'web_scan', 'recon']","web,accesslog,web_scan,recon",high
wheeler,2022-01-30 07:50:38+00:00,32,wazuh-client,192.168.2.114,wazuh-client,web-accesslog,/var/log/apache2/intranet-access.log,"10.38.243.125 - - [30/Jan/2022:07:50:38 +0000] ""GET /wp-includes/js/tinymce/campaigns HTTP/1.1"" 404 363 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)""",31101,5,Web server 400 error code.,"['web', 'accesslog', 'attack']","web,accesslog,attack",medium
wheeler,2022-01-28 15:35:26.692169+00:00,32,wazuh-client,192.168.2.114,wazuh-client,snort,/var/log/suricata/fast.log,01/28/2022-15:35:26.692169  [**] [1:2027863:4] ET INFO Observed DNS Query to .biz TLD [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 192.168.2.114:35185 -> 192.168.0.1:53,20101,6,IDS event.,['ids'],ids,medium
wheeler,2022-01-30 07:54:16+00:00,32,wazuh-client,192.168.2.114,wazuh-client,web-accesslog,/var/log/apache2/intranet-access.log,"10.38.243.125 - - [30/Jan/2022:07:54:16 +0000] ""GET /wp-includes/js/tinymce/plugins/lists/ccs HTTP/1.1"" 404 363 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)""",31101,5,Web server 400 error code.,"['web', 'accesslog', 'attack']","web,accesslog,attack",medium
harrison,2022-02-08 07:48:05+00:00,21,wazuh-client,192.168.131.215,wazuh-client,web-accesslog,/var/log/apache2/intranet-access.log,"10.237.1.238 - - [08/Feb/2022:07:48:05 +0000] ""GET /wp-content/themes/go/dist/zope HTTP/1.1"" 404 363 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)""",31101,5,Web server 400 error code.,"['web', 'accesslog', 'attack']","web,accesslog,attack",medium
harrison,2022-02-08 07:44:06+00:00,21,wazuh-client,192.168.131.215,wazuh-client,web-accesslog,/var/log/apache2/intranet-access.log,"10.237.1.238 - - [08/Feb/2022:07:44:06 +0000] ""GET /wp-includes/blocks/rss/2010 HTTP/1.1"" 404 363 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)""",31101,5,Web server 400 error code.,"['web', 'accesslog', 'attack']","web,accesslog,attack",medium
harrison,2022-02-05 08:49:12.287871+00:00,16,wazuh-client,192.168.131.109,wazuh-client,snort,/var/log/suricata/fast.log,02/05/2022-08:49:12.287871  [**] [1:2027863:4] ET INFO Observed DNS Query to .biz TLD [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 192.168.131.109:45369 -> 192.168.128.1:53,20101,6,IDS event.,['ids'],ids,medium
wilson,2022-02-07 11:10:52+00:00,28,wazuh-client,172.26.243.167,wazuh-client,web-accesslog,/var/log/apache2/intranet-access.log,"10.182.193.78 - - [07/Feb/2022:11:10:52 +0000] ""GET /wp-includes/blocks/rss/lunch_menu HTTP/1.1"" 404 363 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)""",31101,5,Web server 400 error code.,"['web', 'accesslog', 'attack']","web,accesslog,attack",medium
wheeler,2022-01-30 07:46:17+00:00,32,wazuh-client,192.168.2.114,wazuh-client,web-accesslog,/var/log/apache2/intranet-access.log,"10.38.243.125 - - [30/Jan/2022:07:46:17 +0000] ""GET /wp-includes/blocks/cover/banneradmin HTTP/1.1"" 404 3369 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)""",31101,5,Web server 400 error code.,"['web', 'accesslog', 'attack']","web,accesslog,attack",medium
wilson,2022-02-07 10:59:59+00:00,28,wazuh-client,172.26.243.167,wazuh-client,web-accesslog,/var/log/apache2/intranet-access.log,"10.182.193.78 - - [07/Feb/2022:10:59:59 +0000] ""GET /javascript/board HTTP/1.1"" 404 363 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)""",31101,5,Web server 400 error code.,"['web', 'accesslog', 'attack']","web,accesslog,attack",medium
wheeler,2022-01-30 07:45:52+00:00,32,wazuh-client,192.168.2.114,wazuh-client,web-accesslog,/var/log/apache2/intranet-access.log,"10.38.243.125 - - [30/Jan/2022:07:45:52 +0000] ""GET /wp-includes/blocks/categories/related HTTP/1.1"" 404 363 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)""",31101,5,Web server 400 error code.,"['web', 'accesslog', 'attack']","web,accesslog,attack",medium
harrison,2022-02-05 13:01:14+00:00,6,wazuh-client,172.28.192.97,taylor-mail,dovecot,/var/log/mail.info,"Feb  5 13:01:14 taylor-mail dovecot: imap-login: Login: user=<kerry.smith>, method=PLAIN, rip=172.28.192.7, lip=172.28.192.7, mpid=21970, TLS, session=<AkNa9kTXYtOsHMAH>",9701,3,Dovecot Authentication Success.,"['dovecot', 'authentication_success']","dovecot,authentication_success",low
wilson,2022-02-06 17:21:49+00:00,32,wazuh-client,10.182.193.181,mail,dovecot,/var/log/syslog,"Feb  6 17:21:49 mail dovecot: imap-login: Login: user=<donald.ryan>, method=PLAIN, rip=10.182.193.181, lip=10.182.193.181, mpid=3747, TLS, session=<yZMbuFzXnoQKtsG1>",9701,3,Dovecot Authentication Success.,"['dovecot', 'authentication_success']","dovecot,authentication_success",low
wheeler,2022-01-30 07:44:35+00:00,32,wazuh-client,192.168.2.114,wazuh-client,web-accesslog,/var/log/apache2/intranet-access.log,"10.38.243.125 - - [30/Jan/2022:07:44:35 +0000] ""GET /wp-content/themes/go/pa HTTP/1.1"" 404 363 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)""",31101,5,Web server 400 error code.,"['web', 'accesslog', 'attack']","web,accesslog,attack",medium
wheeler,2022-01-30 10:48:33.932141+00:00,36,wazuh-client,172.27.180.4,wazuh-client,snort,/var/log/suricata/fast.log,01/30/2022-10:48:33.932141  [**] [1:2027863:4] ET INFO Observed DNS Query to .biz TLD [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 172.27.180.4:34181 -> 172.27.183.254:53,20101,6,IDS event.,['ids'],ids,medium
fox,2022-01-18 12:26:11+00:00,27,wazuh-client,10.35.35.206,wazuh-client,web-accesslog,/var/log/apache2/intranet-access.log,"172.17.130.196 - - [18/Jan/2022:12:26:11 +0000] ""GET /wp-includes/blocks/code/5 HTTP/1.1"" 404 363 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)""",31101,5,Web server 400 error code.,"['web', 'accesslog', 'attack']","web,accesslog,attack",medium
wheeler,2022-01-30 07:44:41+00:00,32,wazuh-client,192.168.2.114,wazuh-client,web-accesslog,/var/log/apache2/intranet-access.log,"10.38.243.125 - - [30/Jan/2022:07:44:41 +0000] ""GET /wp-includes/blocks/archives/blah HTTP/1.1"" 404 363 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)""",31101,5,Web server 400 error code.,"['web', 'accesslog', 'attack']","web,accesslog,attack",medium
santos,2022-01-15 07:12:23.873989+00:00,30,wazuh-client,10.229.0.4,wazuh-client,snort,/var/log/suricata/fast.log,01/15/2022-07:12:23.873989  [**] [1:2027863:4] ET INFO Observed DNS Query to .biz TLD [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 10.229.0.4:47347 -> 10.229.255.254:53,20101,6,IDS event.,['ids'],ids,medium
santos,2022-01-16 08:49:14.568556+00:00,9,wazuh-client,172.21.129.224,wazuh-client,snort,/var/log/suricata/fast.log,01/16/2022-08:49:14.568556  [**] [1:2230010:1] SURICATA TLS invalid record/traffic [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.21.129.224:36406 -> 172.21.131.50:443,20101,6,IDS event.,['ids'],ids,medium
shaw,2022-01-30 09:13:05.595934+00:00,25,wazuh-client,172.27.180.4,wazuh-client,snort,/var/log/suricata/fast.log,01/30/2022-09:13:05.595934  [**] [1:2230010:1] SURICATA TLS invalid record/traffic [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.70.32.4:38006 -> 185.33.221.15:443,20101,6,IDS event.,['ids'],ids,medium
fox,2022-01-18 12:22:14+00:00,27,wazuh-client,10.35.35.206,wazuh-client,web-accesslog,/var/log/apache2/intranet-access.log,"172.17.130.196 - - [18/Jan/2022:12:22:14 +0000] ""GET /wp-includes/assets/prv_download HTTP/1.1"" 404 363 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)""",31101,5,Web server 400 error code.,"['web', 'accesslog', 'attack']","web,accesslog,attack",medium
wilson,2022-02-07 11:11:26+00:00,28,wazuh-client,172.26.243.167,wazuh-client,web-accesslog,/var/log/apache2/intranet-access.log,"10.182.193.78 - - [07/Feb/2022:11:11:26 +0000] ""GET /wp-includes/blocks/table/1990 HTTP/1.1"" 404 363 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)""",31101,5,Web server 400 error code.,"['web', 'accesslog', 'attack']","web,accesslog,attack",medium
wilson,2022-02-07 11:09:31+00:00,28,wazuh-client,172.26.243.167,wazuh-client,web-accesslog,/var/log/apache2/intranet-access.log,"10.182.193.78 - - [07/Feb/2022:11:09:31 +0000] ""GET /wp-includes/blocks/list/buy HTTP/1.1"" 404 363 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)""",31101,5,Web server 400 error code.,"['web', 'accesslog', 'attack']","web,accesslog,attack",medium
harrison,2022-02-05 18:38:22.676506+00:00,12,wazuh-client,10.237.1.238,wazuh-client,snort,/var/log/suricata/fast.log,02/05/2022-18:38:22.676506  [**] [1:2230003:1] SURICATA TLS invalid handshake message [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 34.192.234.155:443 -> 10.237.1.238:49076,20101,6,IDS event.,['ids'],ids,medium
harrison,2022-02-04 17:00:54.704276+00:00,16,wazuh-client,192.168.131.109,wazuh-client,json,/var/log/suricata/eve.json,,86601,3,Suricata: Alert - ET INFO Observed DNS Query to .biz TLD,"['ids', 'suricata']","ids,suricata",low
fox,2022-01-18 12:33:10+00:00,27,wazuh-client,10.35.35.206,wazuh-client,web-accesslog,/var/log/apache2/intranet-access.log,"172.17.130.196 - - [18/Jan/2022:12:33:10 +0000] ""GET /wp-includes/js/dist/vendor/standards HTTP/1.1"" 404 363 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)""",31101,5,Web server 400 error code.,"['web', 'accesslog', 'attack']","web,accesslog,attack",medium
fox,2022-01-18 12:26:46+00:00,27,wazuh-client,10.35.35.206,wazuh-client,web-accesslog,/var/log/apache2/intranet-access.log,"172.17.130.196 - - [18/Jan/2022:12:26:46 +0000] ""GET /wp-includes/blocks/cover/rss10 HTTP/1.1"" 404 363 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)""",31101,5,Web server 400 error code.,"['web', 'accesslog', 'attack']","web,accesslog,attack",medium
harrison,2022-02-06 12:35:25.933914+00:00,16,wazuh-client,192.168.131.109,wazuh-client,snort,/var/log/suricata/fast.log,02/06/2022-12:35:25.933914  [**] [1:2027863:4] ET INFO Observed DNS Query to .biz TLD [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 192.168.131.109:58609 -> 192.168.128.1:53,20101,6,IDS event.,['ids'],ids,medium
harrison,2022-02-08 07:37:26+00:00,21,wazuh-client,192.168.131.215,wazuh-client,web-accesslog,/var/log/apache2/intranet-access.log,"10.237.1.238 - - [08/Feb/2022:07:37:26 +0000] ""GET /wp-admin/js/widgets/concrete HTTP/1.1"" 404 363 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)""",31101,5,Web server 400 error code.,"['web', 'accesslog', 'attack']","web,accesslog,attack",medium
wilson,2022-02-07 11:10:20+00:00,28,wazuh-client,172.26.243.167,wazuh-client,web-accesslog,/var/log/apache2/intranet-access.log,"10.182.193.78 - - [07/Feb/2022:11:10:20 +0000] ""GET /wp-includes/blocks/query/500 HTTP/1.1"" 404 363 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)""",31101,5,Web server 400 error code.,"['web', 'accesslog', 'attack']","web,accesslog,attack",medium
harrison,2022-02-08 07:30:52+00:00,21,wazuh-client,192.168.131.215,wazuh-client,web-accesslog,/var/log/apache2/intranet-access.log,"10.237.1.238 - - [08/Feb/2022:07:30:52 +0000] ""GET /wp-includes/admin.cgi HTTP/1.1"" 404 363 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)""",31101,5,Web server 400 error code.,"['web', 'accesslog', 'attack']","web,accesslog,attack",medium
harrison,2022-02-08 07:29:21+00:00,21,wazuh-client,192.168.131.215,wazuh-client,web-accesslog,/var/log/apache2/intranet-access.log,"10.237.1.238 - - [08/Feb/2022:07:29:21 +0000] ""HEAD /wp-content/themes/sealight/tools/thumb/thumb.php HTTP/1.1"" 404 146 ""https://intranet.mannsmith.harrison.com"" ""WPScan v3.8.20 (https://wpscan.com/wordpress-security-scanner)""",31151,10,Multiple web server 400 error codes from same source ip.,"['web', 'accesslog', 'web_scan', 'recon']","web,accesslog,web_scan,recon",high
wilson,2022-02-07 11:18:11+00:00,28,wazuh-client,172.26.243.167,wazuh-client,web-accesslog,/var/log/apache2/intranet-access.log,"10.182.193.78 - - [07/Feb/2022:11:18:11 +0000] ""GET /wp-includes/js/tinymce/plugins/media/samba HTTP/1.1"" 404 363 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)""",31101,5,Web server 400 error code.,"['web', 'accesslog', 'attack']","web,accesslog,attack",medium
harrison,2022-02-08 07:55:34+00:00,21,wazuh-client,192.168.131.215,wazuh-client,web-accesslog,/var/log/apache2/intranet-access.log,"10.237.1.238 - - [08/Feb/2022:07:55:34 +0000] ""GET /wp-includes/js/tinymce/skins/wordpress/images/accessories HTTP/1.1"" 404 363 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)""",31101,5,Web server 400 error code.,"['web', 'accesslog', 'attack']","web,accesslog,attack",medium
wilson,2022-02-07 11:10:42+00:00,28,wazuh-client,172.26.243.167,wazuh-client,web-accesslog,/var/log/apache2/intranet-access.log,"10.182.193.78 - - [07/Feb/2022:11:10:42 +0000] ""GET /wp-includes/blocks/quote/shopping-lists HTTP/1.1"" 404 363 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)""",31101,5,Web server 400 error code.,"['web', 'accesslog', 'attack']","web,accesslog,attack",medium
